Generation,BestFitness
1,9.324734510480123
2,9.324734510480123
3,8.10494178849266
4,2.1018408751923907
5,1.76669504007004
6,1.658609830048249
7,1.658609830048249
8,1.658609830048249
9,1.6583214013691965
10,1.6583214013691965
11,1.6583214013691965
12,1.6583214013691965
13,1.6583214013691965
14,1.6583214013691965
15,1.6583214013691965
16,1.6583214013691965
17,1.6583214013691965
18,1.6583214013691965
19,1.6583214013691965
20,1.6583214013691965
21,1.6583214013691965
22,1.6583214013691965
23,1.6583214013691965
24,1.6583214013691965
25,1.6583214013691965
26,1.6583214013691965
27,1.6583214013691965
28,1.6583214013691965
29,1.6583214013691965
30,1.6583214013691965
31,1.6583214013691965
32,1.6583214013691965
33,1.6583214013691965
34,1.6583214013691965
35,1.6583214013691965
36,1.6583214013691965
37,1.6583214013691965
38,1.6583214013691965
39,1.6583214013691965
40,1.2531550427807865
41,1.2531550427807865
42,1.2531550427807865
43,1.2531550427807865
44,1.2531550427807865
45,1.2531550427807865
46,1.2531550427807865
47,1.2531550427807865
48,1.2531550427807865
49,1.2531550427807865
50,1.2531550427807865
51,1.2531550427807865
52,1.2531550427807865
53,1.2531550427807865
54,1.2531550427807865
55,1.2531550427807865
56,1.2531550427807865
57,1.2531550427807865
58,1.2531550427807865
59,1.2531550427807865
60,1.2531550427807865
61,1.2531550427807865
62,1.2531550427807865
63,1.2531550427807865
64,1.2531550427807865
65,1.2531550427807865
66,1.2531550427807865
67,1.2531550427807865
68,1.2531550427807865
69,1.2531550427807865
70,1.2531550427807865
71,1.2531550427807865
72,1.2531550427807865
73,1.2531550427807865
74,1.2531550427807865
75,1.2531550427807865
76,1.2531550427807865
77,1.2531550427807865
78,1.2531550427807865
79,1.2531550427807865
80,1.2531550427807865
81,1.2531550427807865
82,1.2531550427807865
83,1.2531550427807865
84,1.2531550427807865
85,1.2531550427807865
86,1.2531550427807865
87,1.2531550427807865
88,1.2531550427807865
89,1.2531550427807865
90,1.2531550427807865
91,1.2531550427807865
92,1.2531550427807865
93,1.2531550427807865
94,1.2531550427807865
95,1.2531550427807865
96,1.2531550427807865
97,1.2531550427807865
98,1.2531550427807865
99,1.2531550427807865
100,1.2531550427807865
101,1.2531550427807865
102,1.2531550427807865
103,1.2531550427807865
104,1.2531550427807865
105,1.2531550427807865
106,1.2531550427807865
107,1.2531550427807865
108,1.2531550427807865
109,1.2531550427807865
110,1.2531550427807865
111,1.2531550427807865
112,1.2531550427807865
113,1.2531550427807865
114,1.2531550427807865
115,1.2531550427807865
116,1.2531550427807865
117,1.2531550427807865
118,1.2531550427807865
119,1.2531550427807865
120,1.2531550427807865
121,1.2531550427807865
122,1.2531550427807865
123,1.2531550427807865
124,1.2531550427807865
125,1.2531550427807865
126,1.2531550427807865
127,1.2531550427807865
128,1.2531550427807865
129,1.2531550427807865
130,1.2531550427807865
131,1.2531550427807865
132,1.2531550427807865
133,0.992673229755713
134,0.15834541030797666
135,0.15834541030797666
136,0.15805285615905262
137,0.1580449229668872
138,0.15804281181601
139,0.15804281181601
140,0.15804278418587003
141,0.1580427832811644
142,0.15804278315665954
143,0.1580427830720481
144,0.15804278307202324
145,0.1580427830719202
146,0.15804278307191666
147,0.1580427830719131
148,0.1580427830719131
149,0.1580427830719131
150,0.1580427830719131
151,0.1580427830719131
152,0.1580427830719131
153,0.1580427830719131
154,0.1580427830719131
155,0.1580427830719131
156,0.1580427830719131
157,0.1580427830719131
158,0.1580427830719131
159,0.1580427830719131
160,0.1580427830719131
161,0.1580427830719131
162,0.1580427830719131
163,0.1580427830719131
164,0.1580427830719131
165,0.1580427830719131
166,0.1580427830719131
167,0.1580427830719131
168,0.1580427830719131
169,0.1580427830719131
170,0.1580427830719131
171,0.1580427830719131
172,0.1580427830719131
173,0.1580427830719131
174,0.1580427830719131
175,0.1580427830719131
176,0.1580427830719131
177,0.1580427830719131
178,0.1580427830719131
179,0.1580427830719131
180,0.1580427830719131
181,0.1580427830719131
182,0.1580427830719131
183,0.1580427830719131
184,0.1580427830719131
185,0.1580427830719131
186,0.1580427830719131
187,0.1580427830719131
188,0.1580427830719131
189,0.1580427830719131
190,0.1580427830719131
191,0.1580427830719131
192,0.1580427830719131
193,0.1580427830719131
194,0.1580427830719131
195,0.1580427830719131
196,0.1580427830719131
197,0.1580427830719131
198,0.1580427830719131
199,0.1580427830719131
200,0.1580427830719131
